name,population
..Kambja vald,2599
..Konguta vald,1428
..Laeva vald,746
..Luunja vald,4000
..Meeksi vald,583
..Mäksa vald,1598
..Nõo vald,3922
..Peipsiääre vald,660
..Piirissaare vald,99
..Puhja vald,2226
..Rannu vald,1581
..Rõngu vald,2688
..Tartu vald,6908
..Tähtvere vald,2525
..Vara vald,1839
..Võnnu vald,1110
..Ülenurme vald,7067
VALGA MAAKOND,30524
Valga maakonna linnad,15452
..Tõrva linn,2820
..Valga linn,12632
Valga maakonna vallad,15072
..Helme vald,1985
..Hummuli vald,829
..Karula vald,959
..Otepää vald,3872
....Otepää linn (vallasisene),1933
..Palupera vald,1044
..Puka vald,1573
..Põdrala vald,751
..Sangaste vald,1268
..Taheva vald,736
..Tõlliste vald,1588
..Õru vald,467
VILJANDI MAAKOND,47853
Viljandi maakonna linnad,19964
..Mõisaküla linn,790
..Viljandi linn,17860
..Võhma linn,1314
Viljandi maakonna vallad,27889
..Abja vald,2159
....Abja-Paluoja linn (vallasisene),1134
..Halliste vald,1479
..Karksi vald,3333
....Karksi-Nuia linn (vallasisene),1614
..Kolga-Jaani vald,1429
..Kõo vald,1047
..Kõpu vald,633
..Paistu vald*,.
..Pärsti vald*,.
..Saarepeedi vald*,.
..Suure-Jaani vald,5248
....Suure-Jaani linn (vallasisene),1059
..Tarvastu vald,3321
..Viiratsi vald*,.
..Viljandi vald,9240
VÕRU MAAKOND,33973
Võru maakonna linnad,12430
..Võru linn,12430
Võru maakonna vallad,21543
..Antsla vald,3325
....Antsla linn (vallasisene),1335
..Haanja vald,1084
..Lasva vald,1684
..Meremäe vald,1032
..Misso vald,631
..Mõniste vald,859
..Rõuge vald,2157
..Sõmerpalu vald,1771
..Urvaste vald,1269
..Varstu vald,1050
..Vastseliina vald,1970
..Võru vald,4711
Maakond teadmata,1574
